community_detector,used_communities,algorithm_rec,test_size,split_id,rmse,mse,mae
Paris,9.0,NormalPredictor,0.25,3,1.730307428658226,2.993963797669842,1.4024426292924
Paris,10.0,NormalPredictor,0.25,3,1.7258848721941695,2.978678592068685,1.3987947569384507
Paris,11.0,NormalPredictor,0.25,3,1.7296010477499495,2.991519784377723,1.4030028981918843
Paris,12.0,NormalPredictor,0.25,3,1.7310433287783462,2.9965110061080176,1.405360831892493
Paris,13.0,NormalPredictor,0.25,3,1.7346634071311315,3.0090571360397855,1.407114242209554
Paris,14.0,NormalPredictor,0.25,3,1.736299055796559,3.014734411160022,1.4083584458988034
Paris,15.0,NormalPredictor,0.25,3,1.7377879696096752,3.019907027320117,1.4088693971358806
Paris,16.0,NormalPredictor,0.25,3,1.7366799627468148,3.0160572930062783,1.407520344987209
Paris,17.0,NormalPredictor,0.25,3,1.735451042133878,3.011790319643563,1.4069108610304197
Paris,18.0,NormalPredictor,0.25,3,1.7333883552212803,3.0046351900167356,1.4042062468977115
Paris,19.0,NormalPredictor,0.25,3,1.734662243162221,3.009053097852588,1.4053318379539927
Paris,20.0,NormalPredictor,0.25,3,1.738551725734167,3.0225621030532497,1.4091129813879635
Paris,21.0,NormalPredictor,0.25,3,1.7374297852868095,3.018662258801769,1.4082098606255613
Paris,22.0,NormalPredictor,0.25,3,1.7365605411665224,3.0156425131365654,1.4068426105776939
Paris,23.0,NormalPredictor,0.25,3,1.7349398705034558,3.0100163542625475,1.4053262711587902
Paris,24.0,NormalPredictor,0.25,3,1.7332108004885045,3.004019678930003,1.4038502132903785
Paris,25.0,NormalPredictor,0.25,3,1.7358594570714003,3.0132080547042164,1.406594493513555
Paris,26.0,NormalPredictor,0.25,3,1.737572676766172,3.0191588070443602,1.4084518984433674
Paris,27.0,NormalPredictor,0.25,3,1.7367470404176197,3.0162902823993614,1.4083169966127609
Paris,28.0,NormalPredictor,0.25,3,1.7374334520319754,3.018675000239747,1.4085743730294993
