community_detector,used_communities,community,algorithm_rec,test_size,split_id,train_runtime,test_runtime
Paris,19.0,21.0,NormalPredictor,0.25,1,0.0,0.0
Paris,19.0,22.0,NormalPredictor,0.25,1,0.0,0.0
Paris,19.0,23.0,NormalPredictor,0.25,1,0.0,0.0
Paris,19.0,24.0,NormalPredictor,0.25,1,0.0,0.0
Paris,19.0,25.0,NormalPredictor,0.25,1,0.0009937286376953125,0.0
Paris,19.0,26.0,NormalPredictor,0.25,1,0.0009996891021728516,0.0
Paris,19.0,27.0,NormalPredictor,0.25,1,0.0,0.0
Paris,19.0,28.0,NormalPredictor,0.25,1,0.0,0.0
Paris,19.0,29.0,NormalPredictor,0.25,1,0.0,0.0
Paris,19.0,30.0,NormalPredictor,0.25,1,0.0009999275207519531,0.0
Paris,19.0,31.0,NormalPredictor,0.25,1,0.0,0.001001596450805664
Paris,19.0,99.0,NormalPredictor,0.25,1,0.0029990673065185547,0.00603795051574707
Paris,20.0,13.0,NormalPredictor,0.25,1,0.0,0.0
Paris,20.0,14.0,NormalPredictor,0.25,1,0.0,0.0
Paris,20.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,20.0,16.0,NormalPredictor,0.25,1,0.0,0.0015997886657714844
Paris,20.0,17.0,NormalPredictor,0.25,1,0.0,0.0
Paris,20.0,18.0,NormalPredictor,0.25,1,0.0,0.0
Paris,20.0,19.0,NormalPredictor,0.25,1,0.0,0.0
Paris,20.0,20.0,NormalPredictor,0.25,1,0.0,0.0
Paris,20.0,21.0,NormalPredictor,0.25,1,0.0,0.0
Paris,20.0,22.0,NormalPredictor,0.25,1,0.0,0.0
Paris,20.0,23.0,NormalPredictor,0.25,1,0.0,0.0
Paris,20.0,24.0,NormalPredictor,0.25,1,0.0,0.0
Paris,20.0,25.0,NormalPredictor,0.25,1,0.0010001659393310547,0.0
Paris,20.0,26.0,NormalPredictor,0.25,1,0.0,0.0
Paris,20.0,27.0,NormalPredictor,0.25,1,0.0,0.0
Paris,20.0,28.0,NormalPredictor,0.25,1,0.0,0.0
Paris,20.0,29.0,NormalPredictor,0.25,1,0.0,0.0
Paris,20.0,30.0,NormalPredictor,0.25,1,0.0,0.0
Paris,20.0,31.0,NormalPredictor,0.25,1,0.0,0.0010001659393310547
Paris,20.0,32.0,NormalPredictor,0.25,1,0.0,0.0
Paris,20.0,99.0,NormalPredictor,0.25,1,0.0029976367950439453,0.009526491165161133
Paris,21.0,13.0,NormalPredictor,0.25,1,0.0,0.00101470947265625
Paris,21.0,14.0,NormalPredictor,0.25,1,0.0,0.0009999275207519531
Paris,21.0,15.0,NormalPredictor,0.25,1,0.0,0.0009984970092773438
Paris,21.0,16.0,NormalPredictor,0.25,1,0.0,0.0
Paris,21.0,17.0,NormalPredictor,0.25,1,0.0,0.0
Paris,21.0,18.0,NormalPredictor,0.25,1,0.0,0.0
Paris,21.0,19.0,NormalPredictor,0.25,1,0.0,0.0
Paris,21.0,20.0,NormalPredictor,0.25,1,0.0,0.0
Paris,21.0,21.0,NormalPredictor,0.25,1,0.0,0.0
Paris,21.0,22.0,NormalPredictor,0.25,1,0.0,0.0
Paris,21.0,23.0,NormalPredictor,0.25,1,0.0009891986846923828,0.0
Paris,21.0,24.0,NormalPredictor,0.25,1,0.0,0.0
Paris,21.0,25.0,NormalPredictor,0.25,1,0.0,0.0
Paris,21.0,26.0,NormalPredictor,0.25,1,0.0,0.0
Paris,21.0,27.0,NormalPredictor,0.25,1,0.0,0.0
Paris,21.0,28.0,NormalPredictor,0.25,1,0.0,0.0010001659393310547
Paris,21.0,29.0,NormalPredictor,0.25,1,0.0010030269622802734,0.0
Paris,21.0,30.0,NormalPredictor,0.25,1,0.0,0.0
Paris,21.0,31.0,NormalPredictor,0.25,1,0.0,0.0
Paris,21.0,32.0,NormalPredictor,0.25,1,0.0,0.0
Paris,21.0,33.0,NormalPredictor,0.25,1,0.0,0.0009996891021728516
Paris,21.0,99.0,NormalPredictor,0.25,1,0.0036590099334716797,0.008504867553710938
Paris,22.0,13.0,NormalPredictor,0.25,1,0.0,0.0
Paris,22.0,14.0,NormalPredictor,0.25,1,0.0,0.0
Paris,22.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,22.0,16.0,NormalPredictor,0.25,1,0.0,0.0
Paris,22.0,17.0,NormalPredictor,0.25,1,0.0,0.0
Paris,22.0,18.0,NormalPredictor,0.25,1,0.0,0.0
Paris,22.0,19.0,NormalPredictor,0.25,1,0.0010006427764892578,0.0
Paris,22.0,20.0,NormalPredictor,0.25,1,0.0,0.0
Paris,22.0,21.0,NormalPredictor,0.25,1,0.0,0.0
Paris,22.0,22.0,NormalPredictor,0.25,1,0.0,0.0
Paris,22.0,23.0,NormalPredictor,0.25,1,0.0,0.0
Paris,22.0,24.0,NormalPredictor,0.25,1,0.0,0.0
Paris,22.0,25.0,NormalPredictor,0.25,1,0.0,0.0009999275207519531
Paris,22.0,26.0,NormalPredictor,0.25,1,0.0,0.0
Paris,22.0,27.0,NormalPredictor,0.25,1,0.0,0.0009999275207519531
Paris,22.0,28.0,NormalPredictor,0.25,1,0.0,0.0
