community_detector,used_communities,algorithm_rec,test_size,split_id,rmse,mse,mae
Louvain,1.0,SVD,0.25,3,1.2584606159227039,1.5837231218285512,1.0273345643250469
Louvain,2.0,SVD,0.25,3,1.2500031039112742,1.5625077597878199,1.0180733208728807
Louvain,3.0,SVD,0.25,3,1.2457386585635721,1.551864805439768,1.0143732208853509
Louvain,1.0,k-NN,0.25,3,1.5408393808802108,2.374185997671311,1.244578225165921
Louvain,2.0,k-NN,0.25,3,1.5117484474596203,2.2853833683965723,1.215715818762424
Louvain,3.0,k-NN,0.25,3,1.501505077499016,2.254517497755326,1.2052550961152781
Louvain,1.0,NMF,0.25,3,1.5666985958649522,2.4545444902852127,1.2731643466106426
Louvain,2.0,NMF,0.25,3,1.5425338906713935,2.3794108038698267,1.2494762667708899
Louvain,3.0,NMF,0.25,3,1.535712593572687,2.358413170057749,1.2418875294327676
Louvain,1.0,Co-Clustering,0.25,3,1.5640866535262574,2.446367059738967,1.269077138910088
Louvain,2.0,Co-Clustering,0.25,3,1.536382649249462,2.3604716449147958,1.2419986633850595
Louvain,3.0,Co-Clustering,0.25,3,1.5257607443410737,2.3279458489722273,1.2312586988315986
Louvain,1.0,SlopeOne,0.25,3,1.5092082251569616,2.277709466881426,1.2252432794089003
Louvain,2.0,SlopeOne,0.25,3,1.4892197915696346,2.2177755876027057,1.2043375801301408
Louvain,3.0,SlopeOne,0.25,3,1.4807374038262573,2.192583259090125,1.196007121238186
Paris,1.0,NormalPredictor,0.25,3,1.510671360560697,2.282127959618307,1.2134529228731954
Paris,2.0,NormalPredictor,0.25,3,1.5143566941081574,2.2932761969901874,1.2164693748963082
Paris,1.0,SVD,0.25,3,1.2452137806885015,1.5505573596165516,1.014916195379766
Paris,2.0,SVD,0.25,3,1.2445896477198668,1.5490033912114622,1.014266474285436
Paris,1.0,k-NN,0.25,3,1.5199733240917213,2.310318905950437,1.224224745587766
Paris,2.0,k-NN,0.25,3,1.5199733240917213,2.3103189059504365,1.2242247455877657
Paris,1.0,NMF,0.25,3,1.5530022040432199,2.411815845763099,1.259740593143698
Paris,2.0,NMF,0.25,3,1.5524274652057,2.410031034724995,1.2587872392860981
Paris,1.0,Co-Clustering,0.25,3,1.544560912333454,2.3856684119083518,1.24889074343376
Paris,2.0,Co-Clustering,0.25,3,1.5445965419447827,2.385778477387781,1.2494611315359587
Paris,1.0,SlopeOne,0.25,3,1.5126557185439182,2.2881273228436174,1.2243478316294374
Paris,2.0,SlopeOne,0.25,3,1.5126557185439182,2.2881273228436174,1.2243478316294374
Not-Applicable,,NormalPredictor,0.25,4,1.5185102433015751,2.305873359011809,1.2201262903502215
Not-Applicable,,SVD,0.25,4,0.9380904211367256,0.8800136382284791,0.741180910999823
Not-Applicable,,k-NN,0.25,4,0.9791545016403209,0.9587435380825051,0.7754172570219695
Not-Applicable,,NMF,0.25,4,0.9701828401058535,0.9412547432358601,0.7659808792613431
Not-Applicable,,Co-Clustering,0.25,4,0.9774570377408006,0.955422260629021,0.7682469270399721
Not-Applicable,,SlopeOne,0.25,4,0.9446983386745873,0.8924549510945253,0.7444351220607903
Louvain,1.0,NormalPredictor,0.25,4,1.5133494368337599,2.290226517965058,1.2158068954855836
Louvain,2.0,NormalPredictor,0.25,4,1.5231983462971697,2.3201332021624324,1.222461649885536
Louvain,3.0,NormalPredictor,0.25,4,1.5234886782537589,2.321017752767385,1.2231518245498678
Louvain,1.0,SVD,0.25,4,1.257260044062244,1.5807028183953955,1.025179925132684
Louvain,2.0,SVD,0.25,4,1.249981058824712,1.5624526474205482,1.0186198647475075
Louvain,3.0,SVD,0.25,4,1.2447105931731448,1.549304460757442,1.0139939821236947
Louvain,1.0,k-NN,0.25,4,1.4954277827444489,2.2363042534039788,1.208243952942439
Louvain,2.0,k-NN,0.25,4,1.4889132030106262,2.216862526099362,1.2017728879082827
Louvain,3.0,k-NN,0.25,4,1.4813743462510431,2.1944699537307053,1.194158493222151
Louvain,1.0,NMF,0.25,4,1.541330211418975,2.3756988206328624,1.2526423257758539
Louvain,2.0,NMF,0.25,4,1.5324390664240735,2.3483694923026857,1.2440147268926833
Louvain,3.0,NMF,0.25,4,1.5266236863463916,2.3305798797138455,1.2383645922597781
Louvain,1.0,Co-Clustering,0.25,4,1.529192978456154,2.3384311653596037,1.24205035193135
Louvain,2.0,Co-Clustering,0.25,4,1.5169526837595195,2.301145444765209,1.2292078579882562
Louvain,3.0,Co-Clustering,0.25,4,1.5072536503911522,2.2718135666174537,1.2198467020673205
Louvain,1.0,SlopeOne,0.25,4,1.5096574921872496,2.2790657437170956,1.2297892915942552
Louvain,2.0,SlopeOne,0.25,4,1.493652626651518,2.230998169102979,1.2140426803484208
Louvain,3.0,SlopeOne,0.25,4,1.4875274671864203,2.2127379656340467,1.2076329874737066
Paris,1.0,NormalPredictor,0.25,4,1.5129004372500194,2.2888677330313003,1.215085054799479
Paris,2.0,NormalPredictor,0.25,4,1.5181913920899226,2.3049051030159373,1.2192778411991614
Paris,1.0,SVD,0.25,4,1.2450688843160282,1.5501965266919595,1.0142575156656917
Paris,2.0,SVD,0.25,4,1.2455432175914383,1.5513779068880327,1.0148477007767864
Paris,1.0,k-NN,0.25,4,1.4776619092659227,2.1834847180954116,1.193382442922079
Paris,2.0,k-NN,0.25,4,1.4776619092659227,2.1834847180954116,1.193382442922079
Paris,1.0,NMF,0.25,4,1.530977179768909,2.343891124973162,1.2429981715308376
Paris,2.0,NMF,0.25,4,1.5281495427185634,2.3352410249109545,1.2408666971971423
Paris,1.0,Co-Clustering,0.25,4,1.5049300288086322,2.2648143916099506,1.2188385796171066
Paris,2.0,Co-Clustering,0.25,4,1.5079249206653678,2.2738375663636554,1.2214207592528437
Paris,1.0,SlopeOne,0.25,4,1.4995912126001159,2.248773804907486,1.216818406290362
Paris,2.0,SlopeOne,0.25,4,1.4995912126001156,2.2487738049074855,1.216818406290362
Not-Applicable,,NormalPredictor,0.25,5,1.5215013997179572,2.314966509343703,1.219412909259805
Not-Applicable,,SVD,0.25,5,0.9359098243812671,0.8759271993733743,0.7391264977111764
Not-Applicable,,k-NN,0.25,5,0.981565077986609,0.9634700023228577,0.7756587907905159
Not-Applicable,,NMF,0.25,5,0.9673245066055166,0.9357167010796063,0.7591050126240161
Not-Applicable,,Co-Clustering,0.25,5,0.9643371206862508,0.9299460823334486,0.7538840603118694
Not-Applicable,,SlopeOne,0.25,5,0.9455181301154715,0.8940045343770576,0.7433454136030512
Louvain,1.0,NormalPredictor,0.25,5,1.517015656512614,2.301336502104397,1.2198651984162556
Louvain,2.0,NormalPredictor,0.25,5,1.5217373136331394,2.315684451703403,1.2230276735101282
Louvain,3.0,NormalPredictor,0.25,5,1.5199614616822954,2.31028284499938,1.2218749139815355
Louvain,4.0,NormalPredictor,0.25,5,1.5190370441506997,2.3074735415020946,1.2204648827983289
Louvain,1.0,SVD,0.25,5,1.2403468434847689,1.5384602921426298,1.0199870554240453
Louvain,2.0,SVD,0.25,5,1.2362192330250008,1.5282379921009215,1.0171274505864416
Louvain,3.0,SVD,0.25,5,1.2326544243004138,1.5194369297473849,1.0130234070275312
Louvain,4.0,SVD,0.25,5,1.2274586783230341,1.50665480699053,1.0080410688570722
Louvain,1.0,k-NN,0.25,5,1.4614900227795755,2.135953086684244,1.1916990560270835
Louvain,2.0,k-NN,0.25,5,1.4796689233144649,2.189420122622588,1.2048605317991437
Louvain,3.0,k-NN,0.25,5,1.4854538880206154,2.2065732534355633,1.2063206742410457
Louvain,4.0,k-NN,0.25,5,1.4720094147310976,2.1668117170569885,1.1933867530823543
Louvain,1.0,NMF,0.25,5,1.5010491282581007,2.253148485444404,1.2290585546954973
Louvain,2.0,NMF,0.25,5,1.5239933290474952,2.322555666981267,1.2448054894031522
Louvain,3.0,NMF,0.25,5,1.526224996273296,2.3293627392494227,1.2451585992405705
Louvain,4.0,NMF,0.25,5,1.5159766736585576,2.2981852750768645,1.2355623498866593
Louvain,1.0,Co-Clustering,0.25,5,1.479261777421101,2.188215406139035,1.2084465637716326
Louvain,2.0,Co-Clustering,0.25,5,1.4962723117775667,2.238830830992184,1.2208050150457515
Louvain,3.0,Co-Clustering,0.25,5,1.5015411371467553,2.254625786543971,1.222905381682794
Louvain,4.0,Co-Clustering,0.25,5,1.4863195866459404,2.209145913647359,1.2092473973156521
Louvain,1.0,SlopeOne,0.25,5,1.476231854978685,2.1792604896538093,1.2030260059186202
Louvain,2.0,SlopeOne,0.25,5,1.4893872550010967,2.218274395359702,1.2135516090543994
Louvain,3.0,SlopeOne,0.25,5,1.4849561088743966,2.205094645283389,1.2089645149705794
Louvain,4.0,SlopeOne,0.25,5,1.474032953383031,2.172773147659101,1.1988307865722951
Paris,1.0,NormalPredictor,0.25,5,1.5094499439195368,2.278439133198693,1.2133809607880657
Paris,2.0,NormalPredictor,0.25,5,1.5100098097614567,2.2801296255758308,1.211076554979407
Paris,3.0,NormalPredictor,0.25,5,1.515009006061244,2.295252288446678,1.2159566478227124
Paris,1.0,SVD,0.25,5,1.2342582754955138,1.5233934906291597,1.0145924475234023
Paris,2.0,SVD,0.25,5,1.229146390088256,1.5108008482669912,1.0099710530975212
Paris,3.0,SVD,0.25,5,1.226097521437999,1.5033151320764047,1.0071879649913444
Paris,1.0,k-NN,0.25,5,1.487738417468776,2.2133655988124983,1.2088513311161735
Paris,2.0,k-NN,0.25,5,1.5010632048522052,2.253190744961173,1.2152147539684433
Paris,3.0,k-NN,0.25,5,1.4926415172112495,2.227978698902701,1.2073388127488114
Paris,1.0,NMF,0.25,5,1.5260250643802937,2.32875249711688,1.2438779237492579
Paris,2.0,NMF,0.25,5,1.5372098769436293,2.363014205773048,1.2520559621841674
Paris,3.0,NMF,0.25,5,1.5347720816047723,2.3555253424734457,1.2503010129150718
Paris,1.0,Co-Clustering,0.25,5,1.5039539762567338,2.2618775626984404,1.2245983362276107
Paris,2.0,Co-Clustering,0.25,5,1.5085142936381692,2.275615374110665,1.2272684606290711
Paris,3.0,Co-Clustering,0.25,5,1.5006603090722448,2.251981363224805,1.2203417657392102
Paris,1.0,SlopeOne,0.25,5,1.4909757544973052,2.223008700498809,1.2136406897646521
Paris,2.0,SlopeOne,0.25,5,1.4893574698007925,2.2181856728514187,1.2126604487179982
Paris,3.0,SlopeOne,0.25,5,1.4841595422712273,2.2027295469147385,1.208019632626187
Not-Applicable,,NormalPredictor,0.1,1,1.5152180466092806,2.295885728770444,1.2118906885130452
Not-Applicable,,SVD,0.1,1,0.933085967706819,0.8706494231313707,0.7332451127505468
Not-Applicable,,k-NN,0.1,1,0.9686404015609713,0.9382642275361998,0.7653801840572362
Not-Applicable,,NMF,0.1,1,0.9557775244360124,0.9135106762170322,0.7500342220522542
Not-Applicable,,Co-Clustering,0.1,1,0.9599376752701975,0.9214803404031511,0.7510507477284859
Not-Applicable,,SlopeOne,0.1,1,0.940361990455145,0.8842806730927621,0.7402649273604156
Louvain,1.0,NormalPredictor,0.1,1,1.5285872321390388,2.3365789262584875,1.2293418277929369
Louvain,2.0,NormalPredictor,0.1,1,1.5259639682902046,2.328566032519989,1.2263766160039544
Louvain,3.0,NormalPredictor,0.1,1,1.52269214625134,2.3185913722555127,1.223941018245632
Louvain,1.0,SVD,0.1,1,1.2391118171010682,1.5353980952795112,1.0157398649866305
Louvain,2.0,SVD,0.1,1,1.2281194104380195,1.5082772862946288,1.0060226729293167
Louvain,3.0,SVD,0.1,1,1.2249150017940194,1.5004167616200426,1.0035461272038628
Louvain,1.0,k-NN,0.1,1,1.5052187129238934,2.265683373736262,1.2177559943783447
Louvain,2.0,k-NN,0.1,1,1.4861894299528138,2.20875902170347,1.2020370202041684
Louvain,3.0,k-NN,0.1,1,1.481467698107184,2.1947465405349984,1.1979298376159118
Louvain,1.0,NMF,0.1,1,1.5240764410897196,2.3228089982847058,1.2429498126792673
Louvain,2.0,NMF,0.1,1,1.5178713424307826,2.303933412172626,1.2373432445873689
Louvain,3.0,NMF,0.1,1,1.5160815501145257,2.2985032665976632,1.2357662812329282
Louvain,1.0,Co-Clustering,0.1,1,1.5152806252837532,2.296075373360322,1.2336826949949176
Louvain,2.0,Co-Clustering,0.1,1,1.496826348163575,2.240489116556704,1.217011659122058
Louvain,3.0,Co-Clustering,0.1,1,1.4915294853473198,2.2246602056604408,1.2121484539238736
Louvain,1.0,SlopeOne,0.1,1,1.4845547097308014,2.203902686183904,1.2102711940190665
Louvain,2.0,SlopeOne,0.1,1,1.4788649483253296,2.1870415353852795,1.2052339342085354
Louvain,3.0,SlopeOne,0.1,1,1.4715988601549637,2.1656032052093885,1.19911636974284
Paris,1.0,NormalPredictor,0.1,1,1.5265660872030118,2.3304040185983133,1.2227832912207404
Paris,2.0,NormalPredictor,0.1,1,1.5305811246518048,2.3426785791403835,1.2271321894053437
Paris,3.0,NormalPredictor,0.1,1,1.5233827808175753,2.320695096891489,1.222735325983012
Paris,1.0,SVD,0.1,1,1.2412353208655518,1.5406651217642093,1.0155873980780274
Paris,2.0,SVD,0.1,1,1.2342068184713393,1.5232664707611452,1.0105851984571494
Paris,3.0,SVD,0.1,1,1.2295335384741395,1.5117527222327385,1.00679785415582
Paris,1.0,k-NN,0.1,1,1.5046278151674233,2.2639048621754934,1.2217122698477494
Paris,2.0,k-NN,0.1,1,1.4925960321344096,2.2278429151433836,1.2109780381476734
Paris,3.0,k-NN,0.1,1,1.4869668709812742,2.2110704753958412,1.205993308270801
Paris,1.0,NMF,0.1,1,1.5314030828843574,2.345195402267714,1.2500067204801077
Paris,2.0,NMF,0.1,1,1.5245848750065614,2.3243590410987727,1.243475287245141
Paris,3.0,NMF,0.1,1,1.5203357884623594,2.311420909679464,1.2405493458476702
Paris,1.0,Co-Clustering,0.1,1,1.5226551991413955,2.318478855472323,1.243810363995972
Paris,2.0,Co-Clustering,0.1,1,1.5072969182309957,2.271943999708657,1.229499282293203
Paris,3.0,Co-Clustering,0.1,1,1.5001578552862163,2.25047359077694,1.2233945404194884
Paris,1.0,SlopeOne,0.1,1,1.4883075381036714,2.215059327976211,1.2143509488690403
Paris,2.0,SlopeOne,0.1,1,1.479997959338967,2.190393959647506,1.2071763711583865
Paris,3.0,SlopeOne,0.1,1,1.472883981403754,2.169387222675774,1.200836975990677
Not-Applicable,,NormalPredictor,0.1,2,1.5208697080793585,2.3130446689533932,1.222624527295831
Not-Applicable,,SVD,0.1,2,0.9278561518300051,0.8609170384887855,0.7326325041780223
Not-Applicable,,k-NN,0.1,2,0.9685499442671687,0.9380889945399354,0.7661957011428548
Not-Applicable,,NMF,0.1,2,0.9547631550956927,0.9115726823282817,0.7540575027660114
Not-Applicable,,Co-Clustering,0.1,2,0.9560871712983497,0.9141026791212801,0.7497892126584847
Not-Applicable,,SlopeOne,0.1,2,0.9399056152576768,0.883422565592912,0.7416138632812135
