dataset,similarity_metric,community_detector,algorithm_rec,test_size,split_id,rmse,mse,mae
ml-100k,euclidean,Not-Applicable,SVD,0.1,9,0.9428598727819957,0.888984739702481,0.7434562676836366
ml-100k,euclidean,Not-Applicable,k-NN,0.1,9,0.9797178011079872,0.9598469698078695,0.7722808736202771
ml-100k,euclidean,Not-Applicable,NMF,0.1,9,0.9626447154874224,0.9266848482558604,0.7565277901630134
ml-100k,euclidean,Not-Applicable,Co-Clustering,0.1,9,0.9650767223198398,0.9313730799636051,0.754368485470298
ml-100k,euclidean,Louvain,SVD,0.1,9,1.2393982693857637,1.5361080701564258,1.0050718145609665
ml-100k,euclidean,Louvain,k-NN,0.1,9,1.2848283728864933,1.650783947774154,1.039537400190786
ml-100k,euclidean,Louvain,NMF,0.1,9,1.3641551088756723,1.8609191610715972,1.1006621183852008
ml-100k,euclidean,Louvain,Co-Clustering,0.1,9,1.3574822150175803,1.8427579640890361,1.0965520134838562
ml-100k,euclidean,Paris,SVD,0.1,9,1.2487067793013336,1.5592686206731092,1.010874792215059
ml-100k,euclidean,Paris,k-NN,0.1,9,1.2918093156958441,1.668771308118565,1.0438511842019598
ml-100k,euclidean,Paris,NMF,0.1,9,1.3582519095228993,1.8448482497226022,1.0985975508585744
ml-100k,euclidean,Paris,Co-Clustering,0.1,9,1.353313581971958,1.831457651149771,1.0913791669177524
ml-100k,euclidean,Surprise,SVD,0.1,9,1.2195803462569301,1.4873762209761738,0.9835691930472
ml-100k,euclidean,Surprise,k-NN,0.1,9,1.2497309490462833,1.5618274450041243,1.002204403154261
ml-100k,euclidean,Surprise,NMF,0.1,9,1.286969749424137,1.656291135932826,1.0334319050658907
ml-100k,euclidean,Surprise,Co-Clustering,0.1,9,1.291377654507405,1.6676562465610467,1.0336580747329303
ml-100k,cosine,Not-Applicable,SVD,0.1,9,0.9383743723645985,0.8805464627106542,0.7387700933305442
ml-100k,cosine,Not-Applicable,k-NN,0.1,9,0.9797178011079872,0.9598469698078695,0.7722808736202771
ml-100k,cosine,Not-Applicable,NMF,0.1,9,0.9606252361993923,0.9228008444231384,0.7558676882973958
ml-100k,cosine,Not-Applicable,Co-Clustering,0.1,9,0.9676232466056828,0.936294747371722,0.7549203870032789
ml-100k,cosine,Louvain,SVD,0.1,9,1.2379136427538178,1.5324301869160268,1.004118481614616
ml-100k,cosine,Louvain,k-NN,0.1,9,1.2946712760045838,1.676173712911337,1.0449004789490095
ml-100k,cosine,Louvain,NMF,0.1,9,1.3794437787912968,1.9028651388460123,1.115907595176635
