dataset,community_detector,algorithm_rec,test_size,split_id,rmse,mse,mae
synthetic,Paris,NMF,0.25,2,1.1275030171448115,1.2712630536706533,0.9167359243387414
synthetic,Paris,Co-Clustering,0.25,2,1.0800249938099937,1.1664539872542772,0.8841384184520407
synthetic,Paris,SlopeOne,0.25,2,1.1481590387126874,1.3182691781776426,0.9236340206799443
synthetic,Not-Applicable,NormalPredictor,0.25,3,1.6236453820329733,2.6362243265969996,1.3220594711098936
synthetic,Not-Applicable,SVD,0.25,3,1.1574781860794872,1.3397557512498597,0.9519417149390836
synthetic,Not-Applicable,k-NN,0.25,3,1.129942070828411,1.2767690834279974,0.9301038763411971
synthetic,Not-Applicable,NMF,0.25,3,1.0665656189555681,1.1375622195380743,0.8768960145631205
synthetic,Not-Applicable,Co-Clustering,0.25,3,1.1077071677038584,1.2270151693825038,0.912009774677478
synthetic,Not-Applicable,SlopeOne,0.25,3,1.2036295421006715,1.4487240746174723,0.9860508336150977
synthetic,Louvain,NormalPredictor,0.25,3,1.6257915368560527,2.643198121312766,1.3047516781594053
synthetic,Louvain,SVD,0.25,3,1.0607042523113732,1.1250935108714293,0.8717360126800677
synthetic,Louvain,k-NN,0.25,3,1.0061879777931584,1.0124142466554855,0.8280860569272768
synthetic,Louvain,NMF,0.25,3,1.072349919494135,1.1499343498390777,0.8768706213912875
synthetic,Louvain,Co-Clustering,0.25,3,0.9780338441287363,0.9565502002612333,0.809583366838391
synthetic,Louvain,SlopeOne,0.25,3,1.0423291686523395,1.0864500958234773,0.8569322933965822
synthetic,Paris,NormalPredictor,0.25,3,1.592384823246995,2.5356894253073636,1.2815614890260254
synthetic,Paris,SVD,0.25,3,1.0831982259943638,1.1733183967973368,0.8897309716130948
synthetic,Paris,k-NN,0.25,3,1.0518179130899192,1.1063209222968327,0.8603825844858413
synthetic,Paris,NMF,0.25,3,1.1030998289013387,1.2168292325221628,0.8987455766575276
synthetic,Paris,Co-Clustering,0.25,3,1.1062728121129746,1.2238395348203486,0.9041366421775099
synthetic,Paris,SlopeOne,0.25,3,1.09031451039965,1.1887857315880286,0.8922528249160087
synthetic,Not-Applicable,NormalPredictor,0.25,4,1.5705836494196281,2.466732999824277,1.266620038713542
synthetic,Not-Applicable,SVD,0.25,4,1.1759361029027495,1.382825718110106,0.946440787401281
synthetic,Not-Applicable,k-NN,0.25,4,1.1348526343894079,1.2878905017805788,0.919209566137976
synthetic,Not-Applicable,NMF,0.25,4,1.0804982754661203,1.16747652328526,0.8760780192858028
synthetic,Not-Applicable,Co-Clustering,0.25,4,1.1297535897632123,1.2763431735828645,0.9125243077136252
synthetic,Not-Applicable,SlopeOne,0.25,4,1.2070910188230752,1.4570687277233298,0.9674378635176909
synthetic,Louvain,NormalPredictor,0.25,4,1.5940180902246317,2.5408936719633823,1.2917346331177753
synthetic,Louvain,SVD,0.25,4,1.0610022232308116,1.1257257177007252,0.8582043935968626
synthetic,Louvain,k-NN,0.25,4,0.994663009325579,0.989354502120617,0.7995642197290853
synthetic,Louvain,NMF,0.25,4,1.0926651545484105,1.1939171399643016,0.8850498526828942
synthetic,Louvain,Co-Clustering,0.25,4,1.0661176169432123,1.136606773156674,0.8545323312271912
synthetic,Louvain,SlopeOne,0.25,4,1.022919282392556,1.0463638582905015,0.8229920162215361
synthetic,Paris,NormalPredictor,0.25,4,1.6186256909162602,2.6199491272941406,1.2939349692150013
synthetic,Paris,SVD,0.25,4,1.1338670112808957,1.2856543992710712,0.9053315901210023
synthetic,Paris,k-NN,0.25,4,1.099708217757296,1.2093581642029285,0.8759746365703635
synthetic,Paris,NMF,0.25,4,1.1076439205494906,1.226875054730246,0.8989007278429996
synthetic,Paris,Co-Clustering,0.25,4,1.1120843202094222,1.2367315352556525,0.8895692399487233
synthetic,Paris,SlopeOne,0.25,4,1.1423906236983365,1.3050563371138744,0.9113409108579448
synthetic,Not-Applicable,NormalPredictor,0.25,5,1.6000711161474581,2.5602275767293725,1.2953641452601836
synthetic,Not-Applicable,SVD,0.25,5,1.157236534576508,1.3391963969586456,0.9375360839509129
synthetic,Not-Applicable,k-NN,0.25,5,1.1417635507561834,1.3036240058353676,0.931969876826426
synthetic,Not-Applicable,NMF,0.25,5,1.1181457415785605,1.2502498994102689,0.9176105053223075
synthetic,Not-Applicable,Co-Clustering,0.25,5,1.1326535553661041,1.2829040764834763,0.9189475358541512
synthetic,Not-Applicable,SlopeOne,0.25,5,1.200463992484706,1.4411137972523202,0.9709978435854013
synthetic,Louvain,NormalPredictor,0.25,5,1.58267393217959,2.5048567756008056,1.3064675001159067
synthetic,Louvain,SVD,0.25,5,1.0793722448356722,1.165044442921598,0.8800143474029662
